tadig,country,network,access_fee_eur,data_per_mb,is_prohibited,no_roaming,data_not_launched,no_resell,comments
MOZVG,Mozambique,Movitel,0.0,30.0,True,False,False,False,prohibited network
MMROM,Myanmar,Ooreedo,0.0,0.5,False,False,False,False,
MMRPT,Myanmar,Myanmar Posts and Telecommunications,0.0,0.03,False,False,False,False,
MMRTN,Myanmar,Telenor Myanmar,0.0,0.1,False,False,False,False,
NAM01,Namibia,MTC,0.0,0.0,False,False,True,False,data not launched
NAM03,Namibia,tn mobile,0.0,6.0,False,False,False,False,
NPLNM,Nepal,Nepal Telecommunications,0.0,0.0,False,False,False,False,
NPLM2,Nepal,Ncell,0.0,1.0,False,False,False,False,
NLDPT,Netherlands,KPN Telecom,0.11,0.0045,False,False,False,False,Access fee
NLDPN,Netherlands,T-Mobile NL,0.0,30.0,True,False,False,False,prohibited network
NLDLT,Netherlands,Vodafone,0.0,0.005,False,False,False,False,
NCLPT,New Caledonia,Mobilis,0.0,0.0,False,False,False,False,
NZLBS,New Zealand,Vodafone New Zealand Ltd,0.0,0.06,False,False,False,False,
NZLNH,New Zealand,NZC,0.0,0.06,False,False,False,False,
NZLTM,New Zealand,Telecom Spark NZ,0.2,0.02,False,False,False,False,Access fee
NICMS,Nicaragua,Telefonia Celular de Nicaragua,0.0,0.06,False,False,False,False,
NICEN,Nicaragua,Enitel,0.0,0.02,False,True,False,True,"No resell on domestic market, no permanent roaming"
NERTL,Niger,Telecel Niger S.A.,0.0,0.0,False,False,True,False,data not launched
NERCT,Niger,Airtel,0.0,0.5,False,False,False,False,
NGAEM,Nigeria,Etisalat,0.0,0.1,False,False,False,False,
NGAET,Nigeria,Airtel Networks Limited,0.0,0.4,False,False,False,False,
NGAMN,Nigeria,MTN-NG,0.0,0.02,False,False,False,False,
NORNC,Norway,NetCom,0.055,0.01,False,False,False,False,Access fee
NORIC,Norway,Ice,0.0,0.0,False,False,False,False,
NORTM,Norway,Telenor,0.0,0.006,False,False,False,False,
OMNGT,Oman,OMAN MOBILE,0.0,0.03,False,False,False,False,
OMNNT,Oman,Ooredoo,0.0,0.05,False,False,False,False,
NORAM,Over the air,AeroMobile,0.0,0.0,False,False,False,False,
